people ਜਨਤਾ
waterfall ਝਰਨਾ
revise ਦੁਹਰਾਉਣਾ
aired ਹਵਾਦਾਰ
lethal ਮਾਰਕ
antagonist ਵਿਰੋਧੀ
trunk ਧੜ
shout ਚੀਕਣਾ
tiring ਥਕਾਊ
automation ਮਸ਼ੀਨੀਕਰਨ
writ ਰਾਜ਼ੀਨਾਮਾ
lump ਸੋਜ
unified ਸ਼ਾਮਿਲ
thumb ਅੰਗੂਠਾ
curse ਸਰਾਪ
merge ਮਿਲਾਉਣਾ
slip ਖਿਸਕਣ
cremation ਸੰਸਕਾਰ
greatness ਵਿਸ਼ਾਲਤਾ
accustomed ਅਭਿਆਸੀ
imbalance ਅਸੰਤੁਲਨ
math ਗਣਿਤ
exploitation ਸ਼ੋਸ਼ਣ
exporter ਨਿਰਯਾਤਕ
scream ਚੀਕਣਾ
inspirational ਪ੍ਰੇਰਣਾਦਾਇਕ
geography ਭੂਗੋਲ
doubtful ਸ਼ੱਕੀ
limitation ਸੀਮਾ
recruit ਰੱਖਣਾ
budgetary ਬਜਟੀ
magnetic ਚੁੰਬਕੀ
addict ਪੈਣਾ
doubled ਦੁੱਗਣਾ
widow ਵਿਧਵਾ
thirst ਪਿਆਸ
panicked ਘਬਰਾਇਆ
subcontinent ਉਪਮਹਾਂਦੀਪ
acquaintance ਪਹਿਚਾਣ
foster ਪਾਲਣਹਾਰ
faint ਅਪ੍ਰਤੱਖ
praising ਸਵਾਗਤੀ
drill ਸਾਧਨਾ
silently ਚੁੱਪਚਾਪ
dissatisfied ਬੇਸਬਰਾ
thigh ਪੱਟ
plague ਤਾੜਨਾ
assailant ਹਮਲਾਵਰ
decay ਸੜਨਾ
surcharge ਲੁੱਟਣਾ
elbow ਕੂਹਣੀ
modernity ਆਧੁਨਿਕਤਾ
indus ਸਿੰਧ
vocabulary ਸ਼ਬਦਾਵਲੀ
malnutrition ਕੁਪੋਸ਼ਣ
instability ਅਸੰਤੁਲਨ
commissioned ਨਿਯੁਕਤ
compose ਰਚਨਾ
concede ਝੁਕਣਾ
wholesale ਥੋਕ
commencement ਆਰੰਭ
postpone ਟਾਲਣਾ
optimist ਆਸ਼ਾਵਾਦੀ
imperial ਰਾਜਸੀ
stalemate ਜਾਮ
dash ਡਰਾਉਣਾ
ringing ਘੰਟੀ
chili ਮਿਰਚ
neem ਨਿੰਮ
checkup ਜਾਂਚ
monday ਸੋਮਵਾਰ
appreciative ਗੁਣਵਾਨ
endorsed ਸਮਰਥਿਤ
oppression ਦਮਨ
buddy ਅਜ਼ੀਜ਼
notorious ਬਦਨਾਮ
drown ਡੁੱਬਣਾ
bark ਛਿਲਕਾ
friction ਰਗੜ
doll ਪੁਤਲਾ
harass ਤਾੜਨਾ
envelope ਪਰਦਾ
carelessness ਲਾਪਰਵਾਹੀ
refugee ਸ਼ਰਨਾਰਥੀ
healthful ਸੰਤੁਲਿਤ
experimental ਪ੍ਰਯੋਗਿਕ
swallow ਨਿਗਲਣਾ
cluster ਬੰਨ੍ਹਣਾ
bunk ਭੱਜਣਾ
vegetarian ਸ਼ਾਕਾਹਾਰੀ
hopeless ਨਿਰਾਸ਼ਾਜਨਕ
soreness ਘਬਰਾਹਟ
inconvenient ਅਸੁਵਿਧਾਜਨਕ
aunt ਚਾਚੀ
ladder ਪੌੜੀ
viewer ਦਰਸ਼ਕ
terminate ਕੱਢਣਾ
germination ਫੁੱਟਣ
buddhist ਬੋਧੀ
spectator ਦਰਸ਼ਕ
parliamentarian ਸੰਸਦੀ
rob ਲੁੱਟਣਾ
adolescent ਬਾਲਿਕਾ
affirmative ਸਕਾਰਾਤਮਿਕ
thursday ਬੁੱਧਵਾਰ
pretend ਦਿਖਾਉਣਾ
grape ਅੰਗੂਰ
temperament ਮਾਨਸਿਕਤਾ
devotee ਭਗਤ
metropolis ਮਹਾਂਨਗਰ
editorial ਸੰਪਾਦਕੀ
mystical ਰਹੱਸਮਈ
ornament ਸਜਾਇਆ
pill ਗੋਲੀ
bounce ਕੁੱਦਣਾ
pessimist ਨਿਰਾਸ਼ਾਵਾਦੀ
bundle ਬੰਨ੍ਹਣਾ
respite ਅੰਤਰਾਲ
victor ਜੇਤੂ
contestant ਵਿਰੋਧੀ
knitting ਬੁਨਾਈ
scarce ਅਲਪ
baldness ਗੰਜਾਪਨ
norwegian ਨਾਰਵੇਜੀਅਨ
usefulness ਉਪਯੋਗਤਾ
doctrine ਦਰਸ਼ਨ
arsenal ਹਥਿਆਰ
levy ਵਸੂਲਣਾ
freshness ਤਾਜਗੀ
inhibit ਦਬਾਉਣਾ
begging ਭੀਖ
brotherhood ਭਾਈਚਾਰਾ
justification ਪ੍ਰਮਾਣਿਕਤਾ
subdivision ਉਪਭਾਗ
pacify ਮਨਾਉਣਾ
dubious ਸ਼ੱਕੀ
jobless ਬੇਰੋਜਗਾਰ
oblivious ਭੁੱਲੜ
unbearable ਅਸਹਿਣਯੋਗ
optical ਮੋਤੀਆ
booming ਵਿਕਾਸਸ਼ੀਲ
rumor ਅਫਵਾਹ
junction ਜੋੜ
anus ਗੁੱਦਾ
radish ਮੂਲੀ
comb ਕੰਘੀ
interval ਅੰਤਰਾਲ
sketch ਕਾਰਟੂਨ
weep ਰੋਣਾ
immigrant ਪ੍ਰਵਾਸੀ
catastrophic ਅਕ੍ਰਿਤਘਣ
sow ਬੀਜਣਾ
tuesday ਮੰਗਲਵਾਰ
boom ਗਰਜ
imitation ਨਕਲ
formulation ਬਿਆਨ
bull ਬ੍ਰਿਖ
combustion ਦਾਹ
attractiveness ਆਕਰਸ਼ਣ
numerical ਸੰਖਿਆਤਮਕ
bump ਭਿੜਨਾ
astrology ਜੋਤਿਸ਼
treasurer ਖਜਾਨਚੀ
sweep ਫੈਲਣਾ
secretly ਚੁੱਪਚਾਪ
suicidal ਆਤਮਘਾਤੀ
defendant ਵਿਰੋਧੀ
adventurous ਸਾਹਸਿਕ
successor ਵਾਰਿਸ
tame ਡਰਪੋਕ
editing ਸੰਪਾਦਨ
ceremonial ਧਾਰਮਿਕ
protester ਵਿਰੋਧੀ
disciplined ਨੇਮੀ
pesticide ਕੀਟਨਾਸ਼ਕ
thunder ਗਰਜ
erase ਮਿਟਾਉਣਾ
disagreement ਮਤਭੇਦ
prohibit ਰੋਕਣਾ
accountant ਲੇਖਾਕਾਰ
wednesday ਬੁੱਧਵਾਰ
warranted ਬੰਧਨ
compile ਜੋੜਨਾ
afoot ਪੈਦਲ
discard ਸੁੱਟਣਾ
foggy ਧੁੰਦਲਾ
frighten ਡਰਾਉਣਾ
humorous ਮਜ਼ਾਕੀਆ
thrill ਰੋਮਾਂਚ
intersection ਚੌਂਕ
uncontrolled ਬੇਕਾਬੂ
rejuvenation ਤਬਦੀਲੀ
interfering ਵਿਰੋਧੀ
thrower ਘੁਮਿਆਰ
beginner ਮੋਢੀ
summon ਬੁਲਾਉਣਾ
impasse ਜਾਮ
usable ਅਸਲੀ
disqualification ਨਾਲਾਇਕ
turbulent ਸੰਕਟਗ੍ਰਸਤ
storehouse ਗੁਦਾਮ
obedient ਆਗਿਆਕਾਰੀ
bland ਫਿੱਕੀ
insecurity ਅਸੁਰੱਖਿਆ
recurrence ਵਾਪਸੀ
biopsy ਜਾਂਚ
envious ਈਰਖਾਲੂ
attentively ਸਾਵਧਾਨੀਪੂਰਵਕ
pathogen ਰੋਗਾਣੂ
forgery ਨਕਲ
bonded ਬੰਧਨ
unavailable ਅਪ੍ਰਾਪਤ
clumsy ਨਿਕੰਮਾ
embody ਨਿਭਾਉਣਾ
concealed ਡੁੱਬਦਾ
paralysis ਲਕਵਾ
unnamed ਗੁਮਨਾਮ
surname ਗੋਤ
challenger ਪ੍ਰਤੀਯੋਗੀ
rave ਬੋਲਣਾ
savvy ਸਮਝਿਆ
bind ਬੰਨਣਾ
prose ਗਦ
sluggish ਮੰਦ
liaison ਵਿਭਚਾਰ
spider ਮੱਕੜੀ
clove ਲੌਂਗ
ghat ਘਾਟ
weeping ਸੋਗਮਈ
publisher ਪ੍ਰਕਾਸ਼ਕ
indigestion ਬਦਹਜ਼ਮੀ
evergreen ਸਦਾਬਹਾਰ
metallic ਧਾਤੂ
infamous ਬਦਨਾਮ
ludicrous ਬਦਨਾਮ
ominous ਬੁਰਾ
dazzling ਚਕਾਚੌਂਧ
rectangular ਆਯਾਤਕਾਰ
uncover ਖੋਲਣਾ
dictionary ਕੋਸ਼
worm ਘਬਰਾਉਣਾ
epilepsy ਮਿਰਗੀ
acknowledgement ਮਾਨਤਾ
lust ਕਾਮੁਕਤਾ
scissors ਕੈਂਚੀ
heir ਵਾਰਿਸ
bury ਦਬਾਉਣਾ
thriving ਵਿਕਾਸਸ਼ੀਲ
blurred ਧੁੰਦਲਾ
sunni ਸੁੰਨੀ
fenugreek ਮੇਥੀ
orderly ਤਰਕਸੰਗਤ
censor ਸੈਂਸਰ
interrupt ਬੋਲਣਾ
causative ਕਾਰਕ
aquatic ਜਲੀ
embodied ਦੇਹਧਾਰੀ
incompetent ਨਾਲਾਇਕ
obnoxious ਇਤਰਾਜਯੋਗ
unveil ਖੋਲਣਾ
linguistic ਭਾਸ਼ਾਈ
intolerable ਅਸਹਿਣਯੋਗ
stuffed ਭਰਵਾ
hoist ਉਡਾਉਣਾ
owl ਉੱਲੂ
appalled ਸੁੰਨ
instinct ਸੁਭਾਵਿਕ
lucid ਪਾਰਦਰਸ਼ੀ
expel ਕੱਢਣਾ
abbreviation ਸੰਖੇਪ
spit ਥੁੱਕਣਾ
grammatical ਵਿਆਕਰਨਿਕ
irregular ਅਨਿਯਮਤ
coarse ਮਿਲਾਵਟੀ
scintillating ਚਮਕਦਾ
dictator ਤਾਨਾਸ਼ਾਹ
unresolved ਅਣਸੁਲਝਿਆ
reassured ਬੇਫਿਕਰ
seeded ਬੀਜੀ
slavery ਗੁਲਾਮੀ
fuzzy ਧੁੰਦਲਾ
molecular ਸੂਖਮ
quarterly ਤਿਮਾਹੀ
eternity ਮੁਕਤੀ
fury ਪ੍ਰਕੋਪ
innate ਜਨਮਜਾਤ
noun ਨਾਂਵ
nest ਆਲ੍ਹਣਾ
swimmer ਤੈਰਾਕ
roar ਗਰਜ
diarrhoea ਦਸਤ
sap ਰਸ
nurture ਪਾਲਣਾ
taxable ਟੈਕਸਯੋਗ
redevelopment ਨਵੀਨੀਕਰਣ
benevolent ਪਰਉਪਕਾਰੀ
roam ਭਟਕਣਾ
yesterday ਕੱਲ
downtrodden ਦਲਿਤ
liberated ਮੁਕਤ
governmental ਸਰਕਾਰੀ
detain ਟਿਕਣਾ
humankind ਮਨੁਖ
queer ਸਮਲਿੰਗੀ
contender ਪ੍ਰਤੀਯੋਗੀ
pessimistic ਨਿਰਾਸ਼ਾਵਾਦੀ
computerized ਕੰਪਿਊਟਰੀਕਰਨ
depot ਗੁਦਾਮ
unassailable ਅਭੇਦ
allot ਵੰਡਣਾ
aghast ਸੁੰਨ
seam ਸਿਲਾਈ
septic ਸੰਕ੍ਰਮਿਤ
tomorrow ਕੱਲ
curve ਵਿੰਗ
grieve ਸੋਚਣਾ
silky ਰੇਸ਼ਮੀ
unofficial ਗੈਰਸਰਕਾਰੀ
disruptive ਸੰਕਟਗ੍ਰਸਤ
mangled ਫਟਿਆ
testament ਵਸੀਅਤ
socialism ਸਮਾਜਵਾਦ
node ਗੱਠ
workable ਕਰਨਯੋਗ
misfortune ਬਦਕਿਸਮਤੀ
societal ਸਮਾਜਿਕ
rapist ਬਲਾਤਕਾਰੀ
unheard ਅਣਸੁਣੀ
triangle ਤਿਕੋਣ
insanity ਪਾਗਲਪਣ
richness ਅਮੀਰੀ
proportional ਤੁਲਨਾਤਮਕ
slumber ਸੌਣਾ
dilapidated ਖਸਤਾ
counterfeit ਨਕਲ
erotic ਰੰਗੀਨ
pretending ਨਾਟਕ
admittance ਦਾਖਲਾ
ass ਗਧਾ
parasite ਚਿੱਚੜ
excite ਭੜਕਾਉਣਾ
punch ਮੁੱਕਾ
circulate ਫੈਲਾਉਣਾ
broom ਝਾੜੂ
dice ਪਾਸਾ
optimism ਆਸ਼ਾਵਾਦ
eruption ਪ੍ਰਕੋਪ
sleek ਰੇਸ਼ਮੀ
tactical ਰਣਨੀਤੀਕ
stationery ਸਟੇਸ਼ਨਰੀ
demo ਦਿਖਾਉਣਾ
thicken ਗਾੜਾ
fleece ਲੁੱਟਣਾ
brace ਜਗਾਉਣਾ
dim ਅਪ੍ਰਤੱਖ
magnet ਚੁੰਬਕ
competitor ਪ੍ਰਤੀਯੋਗੀ
disgraceful ਅਪਮਾਨਜਨਕ
fright ਡਰਾਉਣਾ
sporadic ਛੋਟੀਆਂ-ਮੋਟੀਆਂ
potter ਘੁਮਿਆਰ
midwife ਦਾਈ
buttermilk ਲੱਸੀ
disinfectant ਕੀਟਨਾਸ਼ਕ
papaya ਪਪੀਤਾ
parasitic ਪਰਜੀਵੀ
affirmation ਪੁਸ਼ਟੀ
roast ਭੁੰਨਣਾ
sweetheart ਕਾਮਿਨੀ
fibrous ਰੇਸ਼ੇਦਾਰ
invincible ਅਜਿੱਤ
mythical ਪੌਰਾਣਿਕ
liquidity ਤਰਲਤਾ
millet ਬਾਜਰਾ
cashew ਕਾਜੂ
volcanic ਜਵਾਲਾਮੁਖੀ
blurry ਧੁੰਦਲਾ
resonance ਗੂੰਜ
emerald ਪੰਨਾ
penis ਲਿੰਗ
greenish ਹਰਾ
enlightened ਸੁਰੱਖਿਅਤ
speedily ਫੋਰਨ
evade ਟਾਲਣਾ
herd ਵੱਗ
injure ਲੱਗਣਾ
translucent ਪਾਰਦਰਸ਼ੀ
exile ਕੱਢਣਾ
forbid ਰੋਕਣਾ
experimentation ਪ੍ਰਯੋਗ
dialect ਬੋਲੀ
compass ਸਮਝਿਆ
sculptor ਮੂਰਤੀਕਾਰ
frown ਤੇਵਰ
predicament ਦੁਰਦਸ਼ਾ
unstoppable ਬੇਰੋਕ
wording ਸ਼ਬਦਾਵਲੀ
sandalwood ਚੰਦਨ
puffiness ਸੋਜ
flashlight ਬੈਟਰੀ
materialise ਆਉਣਾ
homeowner ਘਰਵਾਲਾ
intermediary ਵਿਚੋਲਾ
conceal ਲੁਕਾਉਣਾ
wander ਭਟਕਣਾ
flourishing ਵਿਕਾਸਸ਼ੀਲ
weave ਬੁਣਾਈ
bearer ਧਾਰਕ
melody ਲੈਅ
bloated ਸੁੱਜਿਆ
ovary ਅੰਡਕੋਸ਼
rugged ਸੰਘਰਸ਼ਮਈ
archaeology ਪੁਰਾਤਤਵ
repellent ਈਰਖਾਲੂ
bridal ਵਿਵਾਹਿਕ
voucher ਕੂਪਨ
unarmed ਨਿਹੱਥੇ
hearsay ਅਫਵਾਹ
organizer ਪ੍ਰਬੰਧਕ
meddling ਵਿਰੋਧੀ
slick ਰੇਸ਼ਮੀ
august ਅਗਸਤ
dictate ਲਿਖਵਾਉਣਾ
capitalist ਪੂੰਜੀਵਾਦੀ
unsatisfied ਅਸੰਤੁਸ਼ਟ
aquarius ਕੁੰਭ
discontinue ਛੱਡਣਾ
midday ਦੁਪਹਿਰ
secretion ਰਸ
patriotism ਰਾਸ਼ਟਰੀਅਤਾ
mythological ਪੌਰਾਣਿਕ
outspoken ਬੇਝਿਜਕ
coffin ਤਾਬੂਤ
mammary ਸਤਨ
grinder ਚੱਕੀ
bruise ਕੁੱਟਣਾ
impulsive ਮਨਮਾਨੀ
roaring ਗਰਜ
civilisation ਸੱਭਿਅਤਾ
charmed ਆਕਰਸ਼ਿਤ
coherent ਤਰਕਸੰਗਤ
scrape ਖਿੱਚਣਾ
dummy ਪੁਤਲਾ
inconsequential ਬੇਕਾਰ
decently ਸਿੱਧਾ
inhabit ਰਹਿਣਾ
unattractive ਭੱਦਾ
translator ਅਨੁਵਾਦਕ
enactment ਅਧਿਨਿਯਮ
unattended ਅਣਦੇਖਿਆ
frog ਡੱਡੂ
preventative ਨਿਵਾਰਕ
bactericidal ਕੀਟਨਾਸ਼ਕ
crow ਕਾਂ
nectar ਅੰਮ੍ਰਿਤ
takeoff ਉਡਾਨ
stride ਲੰਘਣਾ
deportation ਕੱਢਣਾ
brute ਕਸਾਈ
hiccup ਹਿਚਕੀ
cuff ਹੱਥਕੜੀ
glittering ਚਮਕਦਾ
demolish ਤੋੜਨਾ
oppressive ਬੇਇਨਸਾਫੀ
sleeper ਸੁੱਤਾ
wart ਮੱਸਾ
clout ਮੁੱਕਾ
emptiness ਖਾਲੀਪਣ
caucasian ਅੰਗਰੇਜ
bald ਗੰਜਾ
laughable ਕਮੇਡੀ
philanthropist ਪਰਉਪਕਾਰੀ
hazy ਧੁੰਦਲਾ
tricolor ਤਿਰੰਗਾ
grandpa ਨਾਨਾ
maths ਗਣਿਤ
cleanup ਸਫ਼ਾਈ
biomass ਬਾਲਣ
quarry ਸ਼ਿਕਾਰ
sterile ਬਾਂਝ
communicable ਸੰਚਾਰੀ
shameless ਬੇਸ਼ਰਮ
unbeatable ਅਜਿੱਤ
facile ਗਾਲੜੀ
serbian ਸਰਬਿਆਈ
desolate ਬੰਜਰ
eyelid ਪਲਕ
tilt ਝੁਕਣਾ
fiance ਮੰਗੇਤਰ
ripen ਪਕਾਉਣਾ
verb ਕਿਰਿਆ
transmitting ਪ੍ਰਸਾਰਣ
stitch ਲਗਾਉਣਾ
scarcely ਅਲਪ
extinguish ਬੁਝਾਉਣਾ
forthright ਬੇਝਿਜਕ
cheek ਗੱਲ੍ਹ
perpetual ਅਨਾਦਿ
impoverished ਬੇਸਹਾਰਾ
untiring ਮਿਹਨਤੀ
ornamental ਸਜਾਵਟੀ
ungrateful ਅਕ੍ਰਿਤਘਣ
sectarian ਸੰਪਰਦਾਇਕ
narrate ਸੁਣਾਉਣਾ
viscous ਲੇਸਦਾਰ
magician ਜਾਦੂਗਰ
fascinate ਮੋਹਣਾ
semantic ਅਰਥੀ
deceitful ਦੋਗਲਾ
malnourished ਕੁਪੋਸ਼ਿਤ
opportunistic ਮੌਕਾਪ੍ਰਸਤ
manly ਮਰਦਾਨਾ
disgruntled ਬੇਸਬਰਾ
fanatic ਕੱਟੜਪੰਥੀ
unavailability ਅਣਹੋਂਦ
forested ਜੰਗਲੀ
sufferer ਸ਼ਹੀਦ
chuck ਥੁੱਕਣਾ
unsolved ਅਣਸੁਲਝਿਆ
equestrian ਘੋੜਸਵਾਰ
fist ਮੁੱਕਾ
astronomical ਖਗੋਲੀ
storyteller ਸੂਤਰਧਾਰ
entangled ਉਲਝਿਆ
comical ਕਮੇਡੀ
panicky ਘਬਰਾਇਆ
gardener ਮਾਲੀ
exonerated ਬਰੀ
hedge ਟਾਲਣਾ
reincarnation ਪੁਨਰਜਨਮ
barber ਨਾਈ
deviate ਭਟਕਣਾ
aunty ਚਾਚੀ
idealistic ਆਦਰਸ਼ਵਾਦੀ
cyclical ਚੱਕਰੀ
meteor ਉਲਕਾ
disbelief ਅਵਿਸ਼ਵਾਸ
forgetful ਭੁੱਲੜ
narrator ਸੂਤਰਧਾਰ
learner ਵਿਦਿਆਰਥਣ
industrious ਮਿਹਨਤੀ
pretence ਨਾਟਕ
paisa ਪੈਸਾ
corrupted ਭ੍ਰਿਸ਼ਟਾਚਾਰੀ
netted ਜਾਲੀਦਾਰ
beak ਚੁੰਝ
bigotry ਕੱਟੜਤਾ
numeric ਸੰਖਿਆਤਮਕ
twofold ਦੁੱਗਣਾ
dependant ਨਿਰਭਰ
