abdul   අබ්දුල්
regarding	සම්බන්ධයෙන්
region	කලාපය
registrar   රෙජිස්ට්‍රාර්
regularly   නිතිපතා
regulation	නියාමනය
regulations රෙගුලාසි
regulatory  නියාමන
rehabilitation  පුනරුත්ථාපන
relatives   ඥාතීන්
relevant    අදාල
reliability විශ්වසනීයත්වය
relief	සහන
religion    ආගම
remaining	ඉතිරි
remote  දුරස්ථ
removal ඉවත්
renewable   පුනර්ජනනීය
report	වාර්තාව
representation  නිරූපණය
representative	නියෝජිතයා
republic	ජනරජය
request	ඉල්ලීම
requirement අවශ්‍යතාව
research    පර්යේෂණ
researchers පර්යේෂකයන්
reserve	රක්ෂිතය
reserves    සංචිත
reservoir   ජලාශය
residential නේවාසික
residents	පදිංචිකරුවන්
resistance  ප්‍රතිරෝධය
resolution  විභේදනය
resource	සම්පත
respect ගෞරවය
respectively	පිළිවෙලින්
response    ප්‍රතිචාරය
responsibility	වගකීම
responsive  ප්‍රතිචාරාත්මක
rest    විවේකය
restoration ප්‍රතිෂ්ඨාපනය
result	ප්‍රතිඵලය
retail  සිල්ලර
return	ආපසු
review  සමාලෝචනය
rice	සහල්
ridiyagama  රිදියගම
rights	හිමිකම්
risk	අවදානම
river   ගඟ
roads	මාර්ග
rodrigo රුද්‍රිගු
role	භූමිකාව
roof    වහලය
room    කාමරය
root	මූල
royal	රාජකීය
rubber  රබර්
rugby	රග්බි
rupees  රුපියල් 
rural   ගම්බද
russia  රුසියාව
ruwan	රුවන්
ruwanwella	රුවන්වැල්ල 
sabaragamuwa    සබරගමුව
sacred  පූජනීය
safety	ආරක්ෂාව
salary  වැටුප
salt	ලුණු
saman	සමන්
samarasinghe    සමරසිංහ
samaratunga සමරතුංග
samples	සාම්පල
sanctuary   අභයභූමිය
sand	වැලි
sanitation  සනීපාරක්ෂාව
sarath	සරත්
sathosa සතොස
saturday	සෙනසුරාදා
savings	ඉතුරුම්
scale	පරිමාණ
schedules	කාලසටහන්
scholarship ශිෂ්‍යත්වය
schools	පාසල්
science	විද්‍යාව
scientists  විද්‍යාඥයන්
scope   විෂයපථය
sea මුහුද
seal	මුද්‍රාව
search  සෙවීම
season	සමය
seat    ආසනය
second	දෙවැනි
secretary   ලේකම්
sectors	අංශ
seeduwa	සීදුව
seethawaka	සීතාවක
selection   තෝරාගැනීම
self    ස්වයං
senanayake  සේනානායක
senaratne   සේනාරත්න
send	යවන්න
seneviratne	සෙනෙවිරත්න
sensitive   සංවේදී
separate    වෙනම
september	සැප්තැම්බර්
sergeant    සැරයන්
series	මාලාව
serious	බරපතල
server  සේවාදායකය
service සේවාව
sessions	සැසිවාර
sets    කට්ටල
seven   හත
several	කිහිපයක්
sewerage    මලාපවහන
sewing	මැහුම්
sex	ලිංගිකත්වය
sheet	පත්‍රය
ships   නැව්
shop	කඩේ
short	කෙටි
shortage    හිඟය
shortterm   කෙටිකාලීන
show	පෙන්වන්න
showroom    ප්‍රදර්ශනාගාරය
side    පැත්ත
signature	අත්සන
silva   සිල්වා
silver  රිදී
simple  සරල
singapore   සිංගප්පූරුව
sinhala සිංහල
sirisena	සිරිසේන
site	අඩවිය
situation   තත්ත්වය
six හය
size    ප්‍රමාණය
skills  නිපුණතා
slow    මන්දගාමී
sluice  සොරොව්ව
soap	සබන්
society සමාජය
socioeconomic   සමාජආර්ථික
soft    මෘදු
software    මෘදුකාංග
soil    පාංශු
solely	තනිකරම
solutions	විසඳුම්
some	සමහර
songs   ගීත
sound	ශබ්දය
source  මූලාශ්‍රය
southern    දක්ෂිණ
sovereign	ස්වෛරී
space   අවකාශය
spain   ස්පාඤ්ඤය
spatial අවකාශීය
speaker	කථානායක
special විශේෂ
specialists විශේෂඥයින්
specimens	නිදර්ශක
speech	කථාව
speed   වේගය
sponsorship	අනුග්‍රාහකත්වය
sports	ක්‍රීඩා
spouse  කලත්‍රයා
stadium ක්‍රීඩාංගනය
stage	අදියර
stakeholders    පාර්ශවකරුවන්
stamps  මුද්දර
standard    සම්මත
standardization	ප්‍රමිතිකරණය
star    තරුව
statement   ප්‍රකාශය
states  ජනපදය
stationery  ලිපිද්‍රව්‍ය
statistical සංඛ්‍යානමය
step    පියවර
stone   ගල්
stores ගබඩා
strategies  උපායමාර්ග
street	වීදිය
strength	ශක්තිය
stress	ආතතිය
structure   ව්‍යුහය
student	ශිෂ්‍යයා
studio  ශබ්දාගාර
study	අධ්‍යයනය
sub	උප
subcommittee    අනුකමිටුව
subject විෂය
subsection	උපවගන්තිය
subsidy සහනාධාරය
substation  උපපොළ
success	සාර්ථකත්වය
sugathadasa	සුගතදාස
summary සාරාංශය
superintendents	අධිකාරීවරුන්
supervision අධීක්ෂණය
supplementary	පරිපූරක
supply  සැපයුම
support සහාය
supreme	උත්තරීතර
surcharge	අධිභාරය
surveyor    මිනින්දෝරු
surveys	සමීක්ෂණ
sustainable	තිරසාර
sweden  ස්වීඩනය
switches    ස්විචයන්
systematic  ක්‍රමානුකූල
systems පද්ධති
table   වගුව
taking	ගනිමින්
tamil   දෙමළ   
tangalla	තංගල්ල
tank    ටැංකිය
target  ඉලක්කය
tariff	තීරුබදු
tasks	කාර්යයන්
tax බද්ද
tea තේ
teachers	ගුරුවරුන්
technology  තාක්ෂණ
telescope	දුරේක්ෂය
television  රූපවාහිනිය
temperature	උෂ්ණත්වය
temple	පන්සල
temporary   තාවකාලික
tender	ටෙන්ඩර්
tennis  ටෙනිස්
terms   කොන්දේසි
terrorism	ත්‍රස්තවාදය
tertiary    තෘතියික
tests	පරීක්ෂණ
thailand	තායිලන්තය
their	ඔවුන්ගේ
theme	තේමාව
then	එවිට
theoretical න්‍යායික
thereby එමගින්
therefore	එබැවින්
third   තුන්වන
this    මෙය
thousand    දහසක්
threat	තර්ජනය
three   තුන
through ඔස්සේ
throughout  පුරාම
thursday    බ්‍රහස්පතින්දා
thus    මෙලෙස
ticket	ටිකට්පත්
tiles   උළු
timely  කාලෝචිත
tissue  පටක
today   අද
toilet  වැසිකිළිය
tool    මෙවලම
torrington  ටොරින්ටන්
tourism	සංචාරක
tournament	තරඟාවලිය
towards	දෙසට
town	නගරය
tractor ට්‍රැක්ටරය
traditional සාම්ප්‍රදායික
trainees	පුහුණුවන්නන්
training    පුහුණුව
transaction ගනුදෙනුව
transfers   මාරුවීම්
transformer	ට්‍රාන්ස්ෆෝමර්
translation	පරිවර්තනය
translators	පරිවර්තකයන්
transmission	සම්ප්‍රේෂණය
transparency    විනිවිදභාවය
transportation  ප්‍රවාහනය
treasury    භාණ්ඩාගාර
treatment	ප්‍රතිකාර
tree    ගස
trends  ප්‍රවණතා
trilingual  ත්‍රෛභාෂික
trincomalee ත්‍රිකුණාමලය
trust	විශ්වාසය
trustees    භාරකරුවන්
tuesday අඟහරුවාදා
turbine ටර්බයිනය
turnover	පිරිවැටුම
twenty  විස්සක්
twice   දෙවරක්
two දෙක
type    වර්ගය
ukuwela	උකුවෙල
uma	උමා
under   යටතේ
underground භූගත
understanding	අවබෝධය
unemployment    විරැකියාව
unique  අද්විතීය
unit    ඒකකය
united	එක්සත්
universities	විශ්වවිද්‍යාල
unmarried   අවිවාහක
unpaid	නොගෙවූ
until	තුරු
update  යාවත්කාලීන
urban   නාගරික
use භාවිත
useful	ප්‍රයෝජනවත්
user    පරිශීලක
uva ඌව
vacancies   පුරප්පාඩු
valid   වලංගු
valuable    වටිනා
value   අගය
van වෑන්
variation	විචලනය
various විවිධ
vasudeva	වාසුදේව
vat වැට්
vavuniya    වවුනියාව
vegetables  එළවළු
vehicles    වාහන
verification	සත්‍යාපනය
vesak	වෙසක්
vessel  යාත්‍රාව
veyangoda   වේයන්ගොඩ
victims වින්දිතයන්
video	වීඩියෝ
vidyalaya	විද්‍යාලය
vietnam	වියට්නාමය
view    දැක්ම
vijaya  විජය
village ගම
violation   උල්ලංඝනය
violence    ප්‍රචණ්ඩත්වය
visa	වීසා
visual  දෘශ්‍ය
volleyball  වොලිබෝල්
volume  පරිමාව
vote    ඡන්දය
voters  ඡන්දදායකයන්
wages   වැටුප්
war	යුද්ධය
warakapola  වරකාපොල
warehouse   ගබඩාව
wariyapola	වාරියපොළ
warrants	වරෙන්තු
waste   කසළ
water   ජලය
wattala වත්තල
way ආකාරය
weak    දුර්වල
weapons ආයුධ
weather කාලගුණය
wednesday	බදාදා
week	සතිය
weerasinghe වීරසිංහ
welfare සුබසාධන
weligama    වැලිගම
weligepola	වැලිගෙපොල
wellbeing	යහපැවැත්ම
wells   ළිං
west    බටහිර
wet	තෙත්
while	අතර
white	සුදු
wickramasinghe  වික්‍රමසිංහ
wide    පුළුල්
width   පළල
wijeratne   විජේරත්න
wijewardena විජේවර්ධන
winners ජයග්‍රාහකයන්
with    සමග 
without තොරව
women   කාන්තා
wood    දැව
words	වදන්
work    කාර්යය
workshop    වැඩමුළුව
writers	ලේඛකයන්
yakkalamulla    යක්කලමුල්ල
yala    යාල
yard    අංගනය
year    වර්ෂය
yet	තවම
you	ඔබ
young   තරුණ
zero    ශූන්‍ය
zone    කලාපය
zoo සත්වෝද්‍යානය
